,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
0,1,Brenden Aaronson,us USA,"MF,FW",Philadelphia,18,2000,28,25,1706,3,1,0,0,3,0,0.16,0.05,0.21,0.16,0.21,3.9,3.9,2.1,0.20,0.11,0.32,0.20,0.32,Matches
1,2,Saad Abdul-Salaam,us USA,DF,Seattle,27,1991,18,11,1067,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.01,0.07,0.08,0.01,0.08,Matches
2,3,Lalas Abubakar,gh GHA,DF,Colorado,24,1994,22,22,1980,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.1,0.06,0.00,0.06,0.06,0.06,Matches
3,4,Lalas Abubakar,gh GHA,DF,Columbus,24,1994,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.19,0.00,0.19,0.19,0.19,Matches
4,5,David Accam,gh GHA,FW,Philadelphia,28,1990,8,4,338,4,2,0,0,0,0,1.07,0.53,1.60,1.07,1.60,2.1,2.1,0.2,0.56,0.05,0.62,0.56,0.62,Matches
5,6,David Accam,gh GHA,"FW,MF",Columbus,28,1990,15,8,667,2,1,0,0,1,0,0.27,0.13,0.40,0.27,0.40,1.2,1.2,1.0,0.16,0.13,0.30,0.16,0.30,Matches
6,7,Bryan Acosta,hn HON,MF,FC Dallas,25,1993,26,23,2073,2,1,0,0,12,0,0.09,0.04,0.13,0.09,0.13,2.0,2.0,2.2,0.09,0.09,0.18,0.09,0.18,Matches
7,8,Danilo Acosta,us USA,DF,Orlando City,21,1997,8,8,667,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,Matches
8,9,Kellyn Acosta,us USA,MF,Colorado,23,1995,31,30,2615,2,1,0,0,10,1,0.07,0.03,0.10,0.07,0.10,1.5,1.5,2.3,0.05,0.08,0.13,0.05,0.13,Matches
9,10,Luciano Acosta,ar ARG,"MF,FW",D.C. United,24,1994,31,22,2122,6,1,0,0,0,1,0.25,0.04,0.30,0.25,0.30,4.3,4.3,2.8,0.18,0.12,0.30,0.18,0.30,Matches
10,11,Mo Adams,eng ENG,"DF,MF",Atlanta,22,1996,4,1,93,1,0,0,0,1,0,0.97,0.00,0.97,0.97,0.97,0.1,0.1,0.1,0.13,0.12,0.25,0.13,0.25,Matches
11,12,Mo Adams,eng ENG,MF,Chicago,22,1996,10,5,487,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.01,0.08,0.08,0.01,0.08,Matches
12,13,Fanendo Adi,ng NGA,FW,FC Cincinnati,28,1990,12,7,700,1,0,0,0,1,0,0.13,0.00,0.13,0.13,0.13,3.0,3.0,0.1,0.38,0.01,0.39,0.38,0.39,Matches
