,club_id,first,last,nation,position,club,age,born,mp,starts,minutes,goals,assists,pk,pkatt,yellow_card,red_card
0,17,Brenden,Aaronson,us USA,"MF,FW",Philadelphia Union,18.0,2000.0,28.0,25.0,1706.0,3.0,1.0,0.0,0.0,3.0,0.0
1,21,Saad,Abdul-Salaam,us USA,DF,Seattle Sounders FC,27.0,1991.0,18.0,11.0,1067.0,0.0,0.0,0.0,0.0,2.0,0.0
2,3,Lalas,Abubakar,gh GHA,DF,Colorado Rapids,24.0,1994.0,22.0,22.0,1980.0,0.0,0.0,0.0,0.0,7.0,0.0
3,4,Lalas,Abubakar,gh GHA,DF,Columbus Crew,24.0,1994.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17,David,Accam,gh GHA,FW,Philadelphia Union,28.0,1990.0,8.0,4.0,338.0,4.0,2.0,0.0,0.0,0.0,0.0
5,4,David,Accam,gh GHA,"FW,MF",Columbus Crew,28.0,1990.0,15.0,8.0,667.0,2.0,1.0,0.0,0.0,1.0,0.0
6,7,Bryan,Acosta,hn HON,MF,FC Dallas,25.0,1993.0,26.0,23.0,2073.0,2.0,1.0,0.0,0.0,12.0,0.0
7,16,Danilo,Acosta,us USA,DF,Orlando City SC,21.0,1997.0,8.0,8.0,667.0,0.0,0.0,0.0,0.0,1.0,0.0
8,3,Kellyn,Acosta,us USA,MF,Colorado Rapids,23.0,1995.0,31.0,30.0,2615.0,2.0,1.0,0.0,0.0,10.0,1.0
9,5,Luciano,Acosta,ar ARG,"MF,FW",DC United,24.0,1994.0,31.0,22.0,2122.0,6.0,1.0,0.0,0.0,0.0,1.0
10,1,Mo,Adams,eng ENG,"DF,MF",Atlanta United,22.0,1996.0,4.0,1.0,93.0,1.0,0.0,0.0,0.0,1.0,0.0
11,2,Mo,Adams,eng ENG,MF,Chicago Fire,22.0,1996.0,10.0,5.0,487.0,0.0,0.0,0.0,0.0,4.0,0.0
12,6,Fanendo,Adi,ng NGA,FW,FC Cincinnati,28.0,1990.0,12.0,7.0,700.0,1.0,0.0,0.0,0.0,1.0,0.0
13,24,Ali,Adnan Kadhim,iq IRQ,DF,Vancouver Whitecaps,25.0,1993.0,28.0,28.0,2410.0,1.0,3.0,0.0,1.0,6.0,0.0
14,20,François,Affolter,ch SUI,DF,San Jose Earthquakes,27.0,1991.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,Harrison,Afful,gh GHA,DF,Columbus Crew,32.0,1986.0,22.0,22.0,1903.0,0.0,2.0,0.0,0.0,3.0,1.0
16,13,Juan,Agudelo,us USA,"MF,FW",New England Revolution,26.0,1992.0,28.0,21.0,1954.0,3.0,1.0,0.0,0.0,7.0,0.0
17,16,Tesho,Akindele,ca CAN,FW,Orlando City SC,26.0,1992.0,28.0,22.0,1875.0,10.0,1.0,0.0,0.0,1.0,0.0
18,23,Ayo,Akinola,us USA,"FW,MF",Toronto FC,19.0,2000.0,8.0,2.0,257.0,1.0,0.0,0.0,0.0,1.0,0.0
19,6,Fatai,Alashe,us USA,"MF,DF",FC Cincinnati,25.0,1993.0,11.0,4.0,438.0,1.0,0.0,0.0,0.0,2.0,0.0
20,6,Nazmi,Albadawi,ps PLE,MF,FC Cincinnati,27.0,1991.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
21,9,Romain,Alessandrini,fr FRA,FW,LA Galaxy,29.0,1989.0,5.0,5.0,277.0,0.0,0.0,0.0,0.0,1.0,0.0
22,6,Eric,Alexander,us USA,"MF,FW",FC Cincinnati,30.0,1988.0,6.0,4.0,313.0,0.0,1.0,0.0,0.0,0.0,0.0
23,11,Osvaldo,Alonso,cu CUB,MF,Minnesota United,33.0,1985.0,27.0,27.0,2365.0,2.0,0.0,0.0,0.0,4.0,0.0
24,23,Jozy,Altidore,us USA,FW,Toronto FC,29.0,1989.0,22.0,18.0,1688.0,11.0,5.0,0.0,0.0,4.0,0.0
26,9,Efrain,Alvarez,mx MEX,"MF,FW",LA Galaxy,16.0,2002.0,14.0,4.0,523.0,0.0,3.0,0.0,0.0,2.0,1.0
27,9,Fabio,Álvarez,ar ARG,"MF,FW",LA Galaxy,26.0,1993.0,18.0,16.0,1260.0,3.0,4.0,0.0,0.0,5.0,0.0
28,5,Quincy,Amarikwa,us USA,FW,DC United,31.0,1987.0,23.0,3.0,429.0,1.0,0.0,0.0,0.0,3.0,0.0
29,6,Frankie,Amaya,us USA,MF,FC Cincinnati,18.0,2000.0,19.0,15.0,1238.0,0.0,0.0,0.0,0.0,2.0,0.0
